dayStart	monthStart	yearStart	dayEnd	monthEnd	yearEnd	date	type	category	titleDE	titleEN	descriptionDE	descriptionEN	linkDE	linkEN
20	6	2012				20.06.12	award	parteispenden	"Grimme Online Award 2012 - Nominierung für ""Parteispenden"""	"Grimme Online Award 2012 - Nomination for ""Party Donations"""			http://www.grimme-institut.de/html/index.php?id=1569	
20	6	2012				20.06.12	award	zugmonitor	"Grimme Online Award 2012 - Nominierung für ""Zugmonitor"""	"Grimme Online Award 2012 - Nomination for ""Train Monitor"""			http://www.grimme-institut.de/html/index.php?id=1569	
25	9	2011				25.09.11	award	maltespitz	"Online Journalism Award 2011 - ""Outstanding Informational Graphic or Data Visualization, Professional"" für ""Verräterisches Handy"""	"Online Journalism Award 2011 - ""Outstanding Informational Graphic or Data Visualization, Professional"" for ""Telling mobile"""	"Ich mag ja den Namen der Kategorie: ""Outstanding Informational Graphic or Data Visualization, Professional"""			http://journalists.org/2011/09/25/2011-online-journalism-award-winners-announced/
22	6	2011				22.06.11	award	maltespitz	"Grimme Online Award 2011 - Award für ""Verräterisches Handy"""	"Grimme Online Award 2011 - Award for ""Tell-all telephone"""	<cite>Was die Vorratsdatenspeicherung aber für den Einzelnen bedeutet, wenn die gespeicherten Daten mit den selbst preisgegebenen Datenspuren aus Facebook & Co.  zusammengesetzt werden, zeigt die innovative Verknüpfung und Visualisierung solcher Daten in „Verräterisches Handy: Was Vorratsdaten über uns verraten”. </cite>		http://www.grimme-institut.de/html/index.php?id=1345	
8	6	2011				08.06.11	award	maltespitz	"Lead Award 2011 - GOLD in der Kategorie ONLINE WEBSPECIAL DES JAHRES für ""Verräterisches Handy"""	"Lead Award 2011 - Gold in the category ONLINE WEBSPECIAL OF THE YEAR for ""Tell-all telephone"""			http://leadacademy.de/2011/preistraeger.html	
16	7	2008				16.07.08	award	general	Interactive TV Award 2008 - 2. Platz	Interactive TV Award 2008 - Second Price	Unser Konzept beschrieb, wie man T-Home Entertain als interaktives Medium sinnvoll nutzen kann. Im Auswahlverfahren erreichten wir den 2. Platz und wurden mit 150.000 Euro ausgezeichnet.	Our concept describes how T-Home Entertain could be used as an interactive medium, and was awarded with 150,000 euros.	http://blog.interactive-tv-award.de/2008/07/10/konzeptsteckbrief-8-was-sollte-ich-wo-schauen/	
15	10	1999				15.10.99	award	general	Internationale Informatik Olympiade 1999 - Silber Medaille	International Olympiad in Informatics 1999 - Silver Medal			http://olympiads.win.tue.nl/ioi/ioi99/results.html	
24	5	1998				24.05.98	award	general	jugend forscht - 2. Platz und Sonderpreis des Bundeskanzlers	youth research - 2nd Place and Special Award of the Federal Chancellor	"Mein Projekt hatte den lyrischen Namen: ""Aufnahmeverfahren, das verlustfreies Trennen von Objekten vom Hintergrund ermöglicht""<cite>Wenn die Wetterfee im Fernsehen vor Eisglätte und Schneeregen warnt, steht sie nur vermeintlich vor der Wetterkarte. Tatsächlich ist sie vor einer blauen Wand postiert; die Karte montiert ein Computer ins Bild. Michael Kreil und Luise Illgen haben diese ""Blue-Box-Technik"" weiterentwickelt. Bei ihnen bleibt der Hintergrund nicht blau, sondern verändert sein Farbe im Laufe der Zeit. Der Vorteil dieses ""Chamäleon-Effekts"": Der Computer kann zwei Bilder von anderer Hintergrundfarbe miteinander vergleichen und daraus die genaue Form und Farbe des Originals rekonstruieren. Damit werden Bildmontagen noch realistischer - die Wetterfee wäre bei ihren allabendlichen Hiobsbotschaften noch besser in die virtuelle Wetterkarte eingepaßt.</cite>"		http://www.jugend-forscht.de/projektdatenbank/aufnahmeverfahren-das-verlustfreies-trennen-von-objekten-vom-hintergrund-ermoeglicht/1998/2.html	
		1988			1999	30.11.87	award	general	Allerhand Auszeichnungen im Rahmen der Mathematikolympiade	All kinds of awards at the Mathematical Olympiad				
		2012				30.11.11	education	general	"Erstes Programm geschrieben in ""node.js"""	"Fell in love with ""node.js"""				
